URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_01_00_50_09_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-01 00:50:09
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Laravel 11.1.2 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.43866	0.44920	0.00141	0.43977	0.00	0.43951	0.00	0	41.82
Laravel 11.1.2 demo app	50	50	100	PHP - previous master	47e440019c	https://github.com/php/php-src/commit/47e440019c	0.43569	0.43809	0.00051	0.43640	-0.77	0.43633	-0.72	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.43578	0.43790	0.00052	0.43665	-0.71	0.43660	-0.66	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master (JIT)	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.42535	0.42706	0.00039	0.42621	-3.08	0.42628	-3.01	0	50.75
Symfony 2.6.0 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.71306	0.71754	0.00093	0.71461	0.00	0.71453	0.00	0	37.33
Symfony 2.6.0 demo app	50	50	100	PHP - previous master	47e440019c	https://github.com/php/php-src/commit/47e440019c	0.70989	0.71320	0.00077	0.71120	-0.48	0.71115	-0.47	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.70835	0.71206	0.00066	0.71009	-0.63	0.71001	-0.63	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master (JIT)	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.68009	0.68335	0.00068	0.68162	-4.62	0.68166	-4.60	0	44.48
Wordpress 6.2 main page	10	50	20	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.58172	0.58703	0.00091	0.58304	0.00	0.58287	0.00	0	42.95
Wordpress 6.2 main page	10	50	20	PHP - previous master	47e440019c	https://github.com/php/php-src/commit/47e440019c	0.57355	0.58075	0.00106	0.57842	-0.79	0.57854	-0.74	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.57704	0.58056	0.00073	0.57821	-0.83	0.57812	-0.81	0	42.80
Wordpress 6.2 main page	10	50	20	PHP - master (JIT)	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.51915	0.52154	0.00053	0.52026	-10.77	0.52022	-10.75	0	61.91
bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.21486	0.21885	0.00083	0.21625	0.00	0.21621	0.00	0	26.12
bench.php	10	50	0	PHP - previous master	47e440019c	https://github.com/php/php-src/commit/47e440019c	0.21545	0.21860	0.00069	0.21704	0.37	0.21692	0.33	0	26.06
bench.php	10	50	0	PHP - master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.21555	0.21847	0.00062	0.21676	0.24	0.21668	0.22	0	26.06
bench.php	10	50	0	PHP - master (JIT)	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.07406	0.07679	0.00077	0.07522	-65.22	0.07495	-65.34	0	27.23
micro_bench.php	10	50	0	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	1.34248	1.37030	0.00625	1.35364	0.00	1.35308	0.00	0	20.38
micro_bench.php	10	50	0	PHP - previous master	47e440019c	https://github.com/php/php-src/commit/47e440019c	1.26091	1.28360	0.00488	1.27075	-6.12	1.27123	-6.05	0	20.32
micro_bench.php	10	50	0	PHP - master	90121f4056	https://github.com/php/php-src/commit/90121f4056	1.26128	1.28119	0.00457	1.27032	-6.16	1.27009	-6.13	0	20.32
micro_bench.php	10	50	0	PHP - master (JIT)	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.53103	0.55030	0.00408	0.54002	-60.11	0.53945	-60.13	0	21.66

URI	ID	Name	Environment	Runner	Instance type	Architecture	CPU	CPU cores	RAM	Kernel	OS	GCC	Dedicated instance	Deeper C-states	Turbo boost	Hyper-threading	Time
2025/2025_01_02_00_49_29_1_aws_x86_64_c7i_metal_24xl	aws_x86_64_c7i_metal_24xl	AWS x86_64 (c7i.24xl)	aws	host	c7i.metal-24xl	x86_64		48	188 GB	6.1.119-129.201.amzn2023.x86_64	Amazon Linux 2023.6.20241212	11.4.1	1	0	0	0	2025-01-02 00:49:29
Test name	Test warmup	Test iterations	Test requests	PHP	PHP Commit hash	PHP Commit URL	Min	Max	Std dev	Average	Average diff %	Median	Median diff %	Instruction count	Memory usage
Laravel 11.1.2 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.43893	0.44091	0.00050	0.43973	0.00	0.43970	0.00	0	41.82
Laravel 11.1.2 demo app	50	50	100	PHP - previous master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.43559	0.43829	0.00056	0.43666	-0.70	0.43654	-0.72	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.43572	0.43784	0.00044	0.43663	-0.70	0.43662	-0.70	0	41.70
Laravel 11.1.2 demo app	50	50	100	PHP - master (JIT)	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.42696	0.42896	0.00038	0.42770	-2.74	0.42763	-2.75	0	50.75
Symfony 2.6.0 demo app	50	50	100	PHP - baseline@d5f6	d5f6e56610	https://github.com/php/php-src/commit/d5f6e56610	0.71314	0.71609	0.00067	0.71487	0.00	0.71484	0.00	0	37.33
Symfony 2.6.0 demo app	50	50	100	PHP - previous master	90121f4056	https://github.com/php/php-src/commit/90121f4056	0.71007	0.71383	0.00083	0.71171	-0.44	0.71153	-0.46	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.70878	0.71311	0.00079	0.71025	-0.65	0.71012	-0.66	0	37.39
Symfony 2.6.0 demo app	50	50	100	PHP - master (JIT)	249d2dac28	https://github.com/php/php-src/commit/249d2dac28	0.68223	0.68566	0.00074	0.68343	-4.40	0.68323	-4.42	0	44.48
